Material,SMILES,Type,PL
BODIPY35,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC(F)=CC(F)=C6)(F)N7C5=C(C)C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7C,BODIPY,679.0
BODIPY36,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C(OCC)=O)C(/C=C/C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)=[O+]1,BODIPY,704.0
BODIPY37,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=C([2H])C([2H])=C([2H])C([2H])=C3[2H])C4=C([2H])C([2H])=C([2H])C([2H])=C4[2H])C=C2)=C(C(OCC)=O)C(/C=C/C5=CC=C(N(C6=C([2H])C([2H])=C([2H])C([2H])=C6[2H])C7=C([2H])C([2H])=C([2H])C([2H])=C7[2H])C=C5)=[O+]1,BODIPY,704.0
BODIPY38,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(OC)C=C4)C=C3)C5=CC=C(C6=CC=C(OC)C=C6)C=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C9=CC=C(OC)C=C9)C=C8)C%10=CC=C(C%11=CC=C(OC)C=C%11)C=C%10)C=C7)=[O+]1,BODIPY,746.0
BODIPY39,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(C#N)C=C4)C=C3)C5=CC=C(C6=CC=C(C#N)C=C6)C=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C9=CC=C(C#N)C=C9)C=C8)C%10=CC=C(C%11=CC=C(C#N)C=C%11)C=C%10)C=C7)=[O+]1,BODIPY,711.0
BODIPY40,O=C(OCC)C1=C(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)O[B-](C5=CC=CC=C5)(C6=CC=CC=C6)[O+]=C1/C=C/C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7,BODIPY,664.0
BODIPY41,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC(C=CC=C4)=C4C=C3)C5=CC=C(C=CC=C6)C6=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C=CC=C9)C9=C8)C%10=CC(C=CC=C%11)=C%11C=C%10)C=C7)=[O+]1,BODIPY,720.0
BODIPY42,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C)C=C3)C4=CC=C(C)C=C4)C=C2)=C(C(OCC)=O)C(/C=C/C5=CC=C(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)C=C5)=[O+]1,BODIPY,731.0
BODIPY43,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,700.0
BODIPY44,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=CC=C4)C=C3)C5=CC=C(C6=CC=CC=C6)C=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C9=CC=CC=C9)C=C8)C%10=CC=C(C%11=CC=CC=C%11)C=C%10)C=C7)=[O+]1,BODIPY,731.0
BODIPY45,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C([Si](C)(C)C)C=C4)C=C3)C5=CC=C(C6=CC=C([Si](C)(C)C)C=C6)C=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C9=CC=C([Si](C)(C)C)C=C9)C=C8)C%10=CC=C(C%11=CC=C([Si](C)(C)C)C=C%11)C=C%10)C=C7)=[O+]1,BODIPY,725.0
BODIPY46,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(SC(C)C)C=C4)C=C3)C5=CC=C(C6=CC=C(SC(C)C)C=C6)C=C5)C=C2)=C(C(OCC)=O)C(/C=C/C7=CC=C(N(C8=CC=C(C9=CC=C(SC(C)C)C=C9)C=C8)C%10=CC=C(C%11=CC=C(SC(C)C)C=C%11)C=C%10)C=C7)=[O+]1,BODIPY,736.0
BODIPY47,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C45)C5=C2)=C(C(OCC)=O)C(/C=C/C6=CC7=C(N(C8=CC=CC=C8)C9=C7C=CC=C9)C=C6)=[O+]1,BODIPY,631.0
BODIPY48,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)C=C2)=C(C(OCC)=O)C(/C=C/C5=CC=C(N(C6=CC=C(C(C)(C)C)C=C6)C7=CC=C(C(C)(C)C)C=C7)C=C5)=[O+]1,BODIPY,728.0
BODIPY49,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C([Si](C)(C)C)C=C4)C=C3)C5=CC=C(C6=CC=C([Si](C)(C)C)C=C6)C=C5)C=C2)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(N(C9=CC=C(C%10=CC=C([Si](C)(C)C)C=C%10)C=C9)C%11=CC=C(C%12=CC=C([Si](C)(C)C)C=C%12)C=C%11)C=C8)=[O+]1,BODIPY,718.0
BODIPY50,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(OC)C=C4)C=C3)C5=CC=C(C6=CC=C(OC)C=C6)C=C5)C=C2)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(N(C9=CC=C(C%10=CC=C(OC)C=C%10)C=C9)C%11=CC=C(C%12=CC=C(OC)C=C%12)C=C%11)C=C8)=[O+]1,BODIPY,722.0
BODIPY51,F[B-]1(C(F)(F)F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,713.0
BODIPY52,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC(OC)=C(OC)C(OC)=C4)C=C3)C5=CC=C(C6=CC(OC)=C(OC)C(OC)=C6)C=C5)C=C2)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(N(C9=CC=C(C%10=CC(OC)=C(OC)C(OC)=C%10)C=C9)C%11=CC=C(C%12=CC(OC)=C(OC)C(OC)=C%12)C=C%11)C=C8)=[O+]1,BODIPY,709.0
BODIPY53,F[B-]1(F)OC(/C=C/C2=CC=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C=C2)=C(C6=CC=CC=C6)C(/C=C/C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C=C7)=[O+]1,BODIPY,680.0
BODIPY54,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=CC(/C=C/C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)=[O+]1,BODIPY,685.0
BODIPY55,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=C(F)C=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,704.0
BODIPY56,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC(C=CC=C6)=C6C=C5)C(/C=C/C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)=[O+]1,BODIPY,703.0
BODIPY57,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=C(OC)C=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,700.0
BODIPY58,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=C(C(F)(F)F)C=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,711.0
BODIPY59,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC(F)=C(F)C(F)=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,717.0
BODIPY60,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=C(C(OC)=O)C=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,706.0
BODIPY61,F[B-]1(F)OC(/C=C/C2=CC=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)S2)=C(C6=CC=CC=C6)C(/C=C/C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)S7)=[O+]1,BODIPY,751.0
BODIPY62,F[B-]1(C(F)(F)F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(OC(C)C)C=C4)C=C3)C5=CC=C(C6=CC=C(OC(C)C)C=C6)C=C5)C=C2)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(N(C9=CC=C(C%10=CC=C(OC(C)C)C=C%10)C=C9)C%11=CC=C(C%12=CC=C(OC(C)C)C=C%12)C=C%11)C=C8)=[O+]1,BODIPY,748.0
BODIPY63,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=C(C)C=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,689.0
BODIPY64,F[B-]1(C(F)(C(F)(F)F)F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,727.0
BODIPY65,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=C([Si](C)(C)C)C=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,705.0
BODIPY66,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(N(CC)CC)C=C4)C=C3)C5=CC=C(C6=CC=C(N(CC)CC)C=C6)C=C5)C=C2)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(N(C9=CC=C(C%10=CC=C(N(CC)CC)C=C%10)C=C9)C%11=CC=C(C%12=CC=C(N(CC)CC)C=C%12)C=C%11)C=C8)=[O+]1,BODIPY,771.0
BODIPY67,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=C([N+]([O-])=O)C=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=[O+]1,BODIPY,720.0
BODIPY68,F[B-]1(F)OC(/C=C/C2=CC=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)O2)=C(C6=CC=CC=C6)C(/C=C/C7=CC=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)O7)=[O+]1,BODIPY,764.0
BODIPY69,FC1=C(F)C([B-]2(C3=C(F)C(F)=C(F)C(F)=C3F)OC(/C=C/C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=[O+]2)=C(F)C(F)=C1F,BODIPY,716.0
BODIPY70,F[B-]1(F)OC(/C=C/C2=C(OC)C=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6OC)=[O+]1,BODIPY,690.0
BODIPY71,F[B-]1(C(F)(F)F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C([Si](C)(C)C)C=C4)C=C3)C5=CC=C(C6=CC=C([Si](C)(C)C)C=C6)C=C5)C=C2)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(N(C9=CC=C(C%10=CC=C([Si](C)(C)C)C=C%10)C=C9)C%11=CC=C(C%12=CC=C([Si](C)(C)C)C=C%12)C=C%11)C=C8)=[O+]1,BODIPY,754.0
BODIPY72,F[B-]1(C(F)(F)F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)C=C2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=C(C(C)(C)C)C=C7)C8=CC=C(C(C)(C)C)C=C8)C=C6)=[O+]1,BODIPY,750.0
BODIPY73,F[B-]1(F)OC(C2=CC=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)S2)=CC(C6=CC=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)S6)=[O+]1,BODIPY,677.0
BODIPY74,F[B-]1(F)OC(/C=C/C2=CC=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C6=NSN=C26)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(C9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C9)C%12=NSN=C%128)=[O+]1,BODIPY,756.0
BODIPY75,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)C=C2)=C(C(C=C5)=CC=C5C6=C(/C=C/C7=CC=C(N(C8=CC=C(C(C)(C)C)C=C8)C9=CC=C(C(C)(C)C)C=C9)C=C7)O[B-](F)(F)[O+]=C6/C=C/C%10=CC=C(N(C%11=CC=C(C(C)(C)C)C=C%11)C%12=CC=C(C(C)(C)C)C=C%12)C=C%10)C(/C=C/C%13=CC=C(N(C%14=CC=C(C(C)(C)C)C=C%14)C%15=CC=C(C(C)(C)C)C=C%15)C=C%13)=[O+]1,BODIPY,723.0
BODIPY76,F[B-]1(C(F)(F)F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(OC)C=C4)C=C3)C5=CC=C(C6=CC=C(OC)C=C6)C=C5)C=C2)=C(C7=CC=C(C(OCC)=O)C=C7)C(/C=C/C8=CC=C(N(C9=CC=C(C%10=CC=C(OC)C=C%10)C=C9)C%11=CC=C(C%12=CC=C(OC)C=C%12)C=C%11)C=C8)=[O+]1,BODIPY,773.0
BODIPY77,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=CC6=NON=C65)C(/C=C/C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)=[O+]1,BODIPY,709.0
BODIPY78,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=CC6=NSN=C65)C(/C=C/C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)=[O+]1,BODIPY,697.0
BODIPY79,F[B-]1(C(F)(F)F)OC(/C=C/C2=CC=C(C3=CC=C(N(C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C(C)(C)C)C=C5)C=C3)S2)=C(C6=CC=CC=C6)C(/C=C/C7=CC=C(C8=CC=C(N(C9=CC=C(C(C)(C)C)C=C9)C%10=CC=C(C(C)(C)C)C=C%10)C=C8)S7)=[O+]1,BODIPY,797.0
BODIPY80,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)C=C2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)=[O+]1,BODIPY,725.0
BODIPY81,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)C=C2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=C(C(C)(C)C)C=C7)C8=CC=C(C(C)(C)C)C=C8)C=C6)=[O+]1,BODIPY,706.0
BODIPY82,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)S2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)S6)=[O+]1,BODIPY,740.0
BODIPY83,F[B-]1(F)OC(/C=C/C2=C(C=CC=C3)C3=C(N(C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C(C)(C)C)C=C5)C6=C2C=CC=C6)=C(C7=CC=CC=C7)C(/C=C/C8=C(C=CC=C9)C9=C(N(C%10=CC=C(C(C)(C)C)C=C%10)C%11=CC=C(C(C)(C)C)C=C%11)C%12=C8C=CC=C%12)=[O+]1,BODIPY,754.0
BODIPY84,F[B-]1(C(F)(F)F)OC(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)S2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)S6)=[O+]1,BODIPY,770.0
BODIPY85,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)C5=C2C=CC=C5)=C(C6=CC=CC=C6)C(/C=C/C7=C(C=CC=C8)C8=C(N(C9=CC=C(C(C)(C)C)C=C9)C%10=CC=C(C(C)(C)C)C=C%10)C=C7)=[O+]1,BODIPY,768.0
BODIPY86,F[B-]1(F)OC(/C=C/C(S2)=CC3=C2C=C(N(C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C(C)(C)C)C=C5)C=C3)=C(C6=CC=CC=C6)C(/C=C/C(S7)=CC8=C7C=C(N(C9=CC=C(C(C)(C)C)C=C9)C%10=CC=C(C(C)(C)C)C=C%10)C=C8)=[O+]1,BODIPY,783.0
BODIPY87,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C4=CC=C(C(C)(C)C)C=C4)C=C3)C5=CC=C(C6=CC=C(C(C)(C)C)C=C6)C=C5)C=C2)=C(C7=CC=CC=C7)C(/C=C/C8=CC=C(N(C9=CC=C(C%10=CC=C(C(C)(C)C)C=C%10)C=C9)C%11=CC=C(C%12=CC=C(C(C)(C)C)C=C%12)C=C%11)C=C8)=[O+]1,BODIPY,731.0
BODIPY88,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(CC(C)C)C=C3)C4=CC=C(CC(C)C)C=C4)C=C2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=C(CC(C)C)C=C7)C8=CC=C(CC(C)C)C=C8)C=C6)=[O+]1,BODIPY,724.0
BODIPY89,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)S2)=C(C5=CC=CC=C5)C(/C=C/C6=CC=C(N(C7=CC=C(C(C)(C)C)C=C7)C8=CC=C(C(C)(C)C)C=C8)S6)=[O+]1,BODIPY,758.0
BODIPY90,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C34)C5=C4C=C(C(C)(C)C)C=C5)S2)=C(C6=CC=CC=C6)C(/C=C/C7=CC=C(N8C9=CC=C(C(C)(C)C)C=C9C%10=C8C=CC(C(C)(C)C)=C%10)S7)=[O+]1,BODIPY,703.0
BODIPY91,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)C=C2)=C(C5=CC=C(C(C)(C)C)C=C5)C(/C=C/C6=CC=C(N(C7=CC=C(C(C)(C)C)C=C7)C8=CC=C(C(C)(C)C)C=C8)C=C6)=[O+]1,BODIPY,720.0
BODIPY92,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)C=C2)=C(C5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5)C(/C=C/C6=CC=C(N(C7=CC=C(C(C)(C)C)C=C7)C8=CC=C(C(C)(C)C)C=C8)C=C6)=[O+]1,BODIPY,717.0
BODIPY93,F[B-]1(F)OC(/C=C/C2=CC=C(N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)C=C2)=C(C5=CC=CC=C5C6=CC=CC=C6)C(/C=C/C7=CC=C(N(C8=CC=C(C(C)(C)C)C=C8)C9=CC=C(C(C)(C)C)C=C9)C=C7)=[O+]1,BODIPY,716.0
BODIPY94,F[B-]1(F)OC(/C=C/C(O2)=CC3=C2C=C(N(C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C(C)(C)C)C=C5)C=C3)=C(C6=CC=CC=C6)C(/C=C/C(O7)=CC8=C7C=C(N(C9=CC=C(C(C)(C)C)C=C9)C%10=CC=C(C(C)(C)C)C=C%10)C=C8)=[O+]1,BODIPY,806.0
BODIPY95,F[B-]1(F)OC(/C=C/C(S2)=CC3=C2C=CC=C3N(C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C(C)(C)C)C=C5)=C(C6=CC=CC=C6)C(/C=C/C(S7)=CC8=C7C=CC=C8N(C9=CC=C(C(C)(C)C)C=C9)C%10=CC=C(C(C)(C)C)C=C%10)=[O+]1,BODIPY,776.0
BODIPY96,F[B-]1(F)OC(/C=C/C(S2)=CC3=C2C=C(C4=CC=C(N(C5=CC=C(C(C)(C)C)C=C5)C6=CC=C(C(C)(C)C)C=C6)C=C4)C=C3)=C(C7=CC=CC=C7)C(/C=C/C(S8)=CC9=C8C=C(C%10=CC=C(N(C%11=CC=C(C(C)(C)C)C=C%11)C%12=CC=C(C(C)(C)C)C=C%12)C=C%10)C=C9)=[O+]1,BODIPY,748.0
BODIPY97,F[B-]1(C(F)(F)F)OC(/C=C/C2=CC=C(N(CC)CC)C=C2)=CC(/C=C/C3=CC=C(N(CC)CC)C=C3)=[O+]1,BODIPY,710.0
1_30,CCCCN1C2=CC=CC=C2C(=O)C2=C1C=C1C(=O)C3=C(C=CC=C3)N(CCCC)C1=C2,quinacridone,538.0
1_31,CCCCN1C2=CC3=C(C=C2C(=O)C2=C1C(C)=CC(C)=C2)N(CCCC)C1=C(C)C=C(C)C=C1C3=O,quinacridone,532.0
C4-DFQA,CCCCN1C2=CC=C(F)C=C2C(=O)C2=C1C=C1C(=O)C3=C(C=CC(F)=C3)N(CCCC)C1=C2,quinacridone,535.0
IDQA,CCCCCCCCN1C2=CC3=C(C=C2C(=O)C2=C1C=CC1=C2C2=C(C=CC=C2)N1CCCCCCC)N(CCCCCCC)C1=CC=C2N(CCCCCCC)C4=C(C=CC=C4)C2=C1C3=O,quinacridone,568.0
DOBNA,O1C2=CC=CC3=C2B(C2=C1C=CC=C2)C1=C(O3)C=CC=C1,DABNA,398.0
5_2,O1C2=CC=CC3=C2B(C2=C1C=CC(=C2)C1=CC=CC=C1)C1=C(O3)C=CC(=C1)C1=CC=CC=C1,DABNA,410.0
5_3,O1C2=CC=CC3=C2B(C2=C1C=C(C=C2)C1=CC=CC=C1)C1=C(O3)C=C(C=C1)C1=CC=CC=C1,DABNA,410.0
5_4,O1C2=C(C=CC=C2)B2C3=C(OC4=C(C=C(C5=CC=CC=C5)C1=C24)C1=CC=CC=C1)C=CC=C3,DABNA,436.0
DABNA1,C1=CC=C(C=C1)N1C2=CC=CC3=C2B(C2=C1C=CC=C2)C1=C(C=CC=C1)N3C1=CC=CC=C1,DABNA,462.0
DABNA2,C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC2=C(C=C1)B1C3=C(C=C(C=C3)C3=CC=CC=C3)N(C3=CC=CC(=C3)C3=CC=CC=C3)C3=C1C(=CC=C3)N2C1=CC=CC=C1,DABNA,470.0
nu-DABNA,C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC2=C3B(C4=CC5=C(C=C4N2C2=CC=CC=C2)N(C2=CC=CC=C2)C2=CC(=CC4=C2B5C2=C(C=CC=C2)N4C2=CC=CC=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=C(C=CC=C2)N(C2=CC=CC=C2)C3=C1,DABNA,468.0
TBN-TPA,CC(C)(C)C1=CC=C(C=C1)N1C2=CC(=CC3=C2B(C2=C1C=CC(=C2)C(C)(C)C)C1=C(C=CC(=C1)C(C)(C)C)N3C1=CC=C(C=C1)C(C)(C)C)N1C2=C(C=C(C=C2)C(C)(C)C)C2=C1C=CC(=C2)C(C)(C)C,DABNA,470.0
DtBuCzB,CC(C)(C)C1=CC=C2N3C4=C(C=C(C=C4C2=C1)C(C)(C)C)B1C2=C4N(C5=C(C=C(C=C5)C(C)(C)C)C4=CC(=C2)C(C)(C)C)C2=CC=CC3=C12,DABNA,481.0
5_18,CC(C)(C)C1=CC=C(C=C1)C1=CC=C2N3C4=C(C=C(C=C4C2=C1)C1=CC=C(C=C1)C(C)(C)C)B1C2=C4N(C5=C(C=C(C=C5)C5=CC=C(C=C5)C(C)(C)C)C4=CC(=C2)C2=CC=C(C=C2)C(C)(C)C)C2=CC=CC3=C12,DABNA,496.0
5_19,CC(C)(C)C1=CC=C2N3C4=C(C=C(C=C4C2=C1)C(C)(C)C)B1C2=C4N(C5=C(C=C(C=C5)C(C)(C)C)C4=CC(=C2)C(C)(C)C)C2=CC(=CC3=C12)N1C2=C(C=C(C=C2)C(C)(C)C)C2=C1C=CC(=C2)C(C)(C)C,DABNA,466.0
5_31,CC1=CC=C(C=C1)N(C1=CC=C(C)C=C1)C1=CC2=C3B(C4=C(C=CC(C)=C4)N(C4=CC=C(C)C=C4)C3=C1)C1=C(C=CC(C)=C1)N2C1=CC=C(C)C=C1,DABNA,460.0
Anth1,C12=CC=CC=C1C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5C(C=CC=C5)=C2N(C6=CC=CC=C6)C7=CC=CC=C7,Hydrocarbon,510.0
Anth2,C12=CC=CC=C1C(N3C4=CC=CC=C4CCC5=C3C=CC=C5)=C6C(C=CC=C6)=C2N7C8=CC=CC=C8CCC9=C7C=CC=C9,Hydrocarbon,525.0
Anth3,C12=CC=CC=C1C(N3C4=CC=CC=C4CC5=C3C=CC=C5)=C6C(C=CC=C6)=C2N7C8=CC=CC=C8CC9=C7C=CC=C9,Hydrocarbon,553.0
Anth5,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C4C(C(C5=CC=CC=C5)=C(C=CC(N(C6=CC=CC=C6)C7=CC=CC=C7)=C8)C8=C4C9=CC=CC=C9)=C1,Hydrocarbon,506.0
Anth6,C12=CC=CC=C1C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C6C(C=CC=C6)=C2C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7,Hydrocarbon,468.0
