Material,SMILES,Type,PL
BTD23,C12=NSN=C1C(C3=CC=C(N(C4=CC=CC=C45)C6=C5C=CC=C6)C=C3)=CC=C2C7=CC=C(N(C8=CC=CC=C89)C%10=C9C=CC=C%10)C=C7,BTD,542.0
BTD24,C12=NSN=C1C(C3=CC4=C(C=C3)N(C5=CC=CC=C5)C6=C4C=CC=C6)=CC=C2C7=CC8=C(C=C7)N(C9=CC=CC=C9)C%10=C8C=CC=C%10,BTD,575.0
BTD25,C12=NSN=C1C(C3=CC=CS3)=CC=C2C4=CC=CS4,BTD,565.0
BTD26,COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)S6)C%10=NSN=C%105)S4,BTD,710.0
BTD27,C12=NSN=C1C(C3=CC=CC=C3)=CC=C2C4=CC=CC=C4,BTD,488.0
BTD28,C12=NSN=C1C(C3=CC=CC=C3)=CC=C2C4=CC=CC=C4,BTD,487.0
BTD29,C12=NSN=C1C(/C=C/C3=CC=CC=C3)=CC=C2/C=C/C4=CC=CC=C4,BTD,560.0
BTD30,C12=NSN=C1C(C3=C(C=CC=C4)C4=CC=C3)=CC=C2C5=CC=CC6=C5C=CC=C6,BTD,517.0
BTD31,C12=NSN=C1C(C3=C(C=CC=C4)C4=CC=C3)=CC=C2C5=CC=CC6=C5C=CC=C6,BTD,504.0
BTD32,COC(C=C1)=CC=C1C2=CC=C(C3=CC=C(OC)C=C3)C4=NSN=C42,BTD,547.0
BTD33,C12=NSN=C1C(C#CC3=CC=CC=C3)=CC=C2C#CC4=CC=CC=C4,BTD,497.0
BTD34,C12=NSN=C1C(C#CC3=CC=CC4=C3C=CC=C4)=CC=C2C#CC5=C(C=CC=C6)C6=CC=C5,BTD,434.0
BTD35,COC(C=C1)=CC=C1C#CC2=CC=C(C#CC3=CC=C(OC)C=C3)C4=NSN=C42,BTD,542.0
BTD36,CN(C)C(C=C1)=CC=C1C#CC2=CC=C(C#CC3=CC=C(N(C)C)C=C3)C4=NSN=C42,BTD,438.0
BTD37,C12=NSN=C1C(C3=CC=C(/C=C/C4=CC=CC=C4)C=C3)=CC=C2C5=CC=C(/C=C/C6=CC=CC=C6)C=C5,BTD,555.0
BTD38,C12=NSN=C1C(C3=CC=C(/C=C/C=C/C4=CC=CC=C4)C=C3)=CC=C2C5=CC=C(/C=C/C=C/C6=CC=CC=C6)C=C5,BTD,577.0
BTD39,C12=NSN=C1C(C3=CC=C(C4=CC=CC=C4)S3)=CC=C2C5=CC=C(C6=CC=CC=C6)S5,BTD,624.0
BTD40,C12=NSN=C1C(C3=CC=C(/C=C/C4=CC=CC=C4)S3)=CC=C2C5=CC=C(/C=C/C6=CC=CC=C6)S5,BTD,647.0
